,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
182,tt2295109,tvSeries,I'm Late for School Again,Bazam Madresam Dir Shod,0,1982.0,,30.0,[],6.3,115
183,tt0377646,short,The Choir,The Choir,0,2003.0,,9.0,[],8.1,18
184,tt0098570,video,Urusei Yatsura: Yagi-san to chîzu,Urusei Yatsura: Yagi-san to chîzu,0,1989.0,,30.0,"['Animation', 'Comedy', 'Short']",7.4,42
186,tt11460022,short,El-Eicha,El-Eicha,0,2010.0,,18.0,"['Drama', 'Short']",9.2,8
187,tt1452196,tvEpisode,Ryouzanpaku's Biggest Crisis!!?,Ryouzanpaku's Biggest Crisis!!?,0,2007.0,,24.0,"['Action', 'Animation', 'Comedy']",7.7,12
188,tt0442353,movie,To Die in San Hilario,Morir en San Hilario,0,2005.0,,95.0,[],6.4,207
189,tt5661506,video,Florence + the Machine: The Odyssey,Florence + the Machine: The Odyssey,0,2016.0,,49.0,[],8.8,330
191,tt0036796,movie,It All Started So Gaily,Es fing so harmlos an,0,1944.0,,90.0,[],6.6,13
192,tt2338023,short,Je vous prie de sortir,Je vous prie de sortir,0,2011.0,,19.0,"['Drama', 'Short']",7.1,7
193,tt0027480,movie,The Crime of Dr. Forbes,The Crime of Dr. Forbes,0,1936.0,,75.0,"['Crime', 'Drama']",7.1,12
194,tt0503550,tvEpisode,Two and Two Make Six,Two and Two Make Six,0,1958.0,,47.0,"['Action', 'Crime', 'Drama']",8.5,39
195,tt5558258,tvEpisode,Young & Hawaii,Young & Hawaii,0,2016.0,,20.0,"['Comedy', 'Drama', 'Romance']",8.1,110
196,tt0722142,tvEpisode,He's Leaving Home,He's Leaving Home,0,1997.0,,42.0,[],7.6,10
198,tt4757630,tvMiniSeries,Jenny & Jeff,Jenny & Jeff,0,2016.0,,24.0,"['Comedy', 'Romance']",6.6,8
201,tt0359846,short,To Be Called For,Poste restante,0,2000.0,,24.0,[],5.8,9
202,tt5640942,tvEpisode,Shakedown,Shakedown,0,2016.0,,43.0,[],7.6,52
204,tt0111496,movie,Trollsyn,Trollsyn,0,1994.0,,93.0,[],6.5,129
205,tt0398786,video,Bloodrite,Bloodrite,1,1999.0,,105.0,"['Adult', 'Fantasy']",7.8,5
207,tt0095507,tvMovie,Leap of Faith,Leap of Faith,0,1988.0,,97.0,[],6.5,92
208,tt0069875,tvSeries,Chlopi,Chlopi,0,1972.0,,653.0,[],7.0,129
209,tt1262286,tvEpisode,Fire Extinguishers/Doughnuts/Shock Absorbers/Banjos,Fire Extinguishers/Doughnuts/Shock Absorbers/Banjos,0,2007.0,,22.0,[],7.6,9
210,tt0630907,tvEpisode,Mask of Evidence,Mask of Evidence,0,1959.0,,30.0,[],7.2,5
211,tt0052823,movie,Freddy unter fremden Sternen,Freddy unter fremden Sternen,0,1959.0,,97.0,[],5.9,49
212,tt11178470,tvEpisode,Namedni-1955,Namedni-1955,0,2019.0,,37.0,"['Documentary', 'History']",8.8,6
215,tt0436570,movie,The Ivory,El marfil,0,2004.0,,75.0,[],4.7,20
217,tt6455404,short,The Joker,The Joker,0,2017.0,,20.0,"['Short', 'Thriller']",5.3,24
218,tt0202570,movie,Lo scandalo,Lo scandalo,0,1966.0,,96.0,[],6.4,7
219,tt0062378,movie,Tofflan,Tofflan,0,1967.0,,99.0,[],4.8,17
221,tt3869300,tvEpisode,Stop Bugging Me,Stop Bugging Me,0,2015.0,,22.0,"['Comedy', 'Family', 'Sci-Fi']",7.6,16
222,tt0743211,tvEpisode,The Michael McGoo Story,The Michael McGoo Story,0,1963.0,,60.0,[],8.3,17
223,tt2796402,movie,Atentat: Osinnie vbyvstvo u Munkheni,Atentat: Osinnie vbyvstvo u Munkheni,0,1995.0,,110.0,[],6.3,83
